"","time","location","Location_name","rating"
"1","2020-04-06 00:00:00",2,"Northwest",NA
"2","2020-04-06 00:00:00",3,"Old Town",10
"3","2020-04-06 00:00:00",4,"Safe Town",NA
"4","2020-04-06 00:00:00",4,"Safe Town",NA
"5","2020-04-06 00:00:00",8,"Scenic Vista",NA
"6","2020-04-06 00:00:00",15,"Weston",NA
"7","2020-04-06 00:00:00",17,"Oak Willow",NA
"8","2020-04-06 00:00:00",18,"East Parton",NA
"9","2020-04-06 00:05:00",2,"Northwest",NA
"10","2020-04-06 00:05:00",5,"Southwest",7
"11","2020-04-06 00:05:00",6,"Downtown",4
"12","2020-04-06 00:05:00",8,"Scenic Vista",NA
"13","2020-04-06 00:05:00",8,"Scenic Vista",NA
"14","2020-04-06 00:05:00",8,"Scenic Vista",NA
"15","2020-04-06 00:05:00",8,"Scenic Vista",NA
"16","2020-04-06 00:05:00",8,"Scenic Vista",NA
"17","2020-04-06 00:05:00",13,"Cheddarford",NA
"18","2020-04-06 00:05:00",14,"Easton",NA
"19","2020-04-06 00:05:00",15,"Weston",NA
"20","2020-04-06 00:05:00",19,"West Parton",NA
"21","2020-04-06 00:10:00",2,"Northwest",NA
"22","2020-04-06 00:10:00",3,"Old Town",7
"23","2020-04-06 00:10:00",4,"Safe Town",NA
"24","2020-04-06 00:10:00",4,"Safe Town",NA
"25","2020-04-06 00:10:00",5,"Southwest",9
"26","2020-04-06 00:10:00",6,"Downtown",8
"27","2020-04-06 00:10:00",6,"Downtown",9
"28","2020-04-06 00:10:00",6,"Downtown",3
"29","2020-04-06 00:10:00",12,"Pepper Mill",NA
"30","2020-04-06 00:10:00",18,"East Parton",NA
"31","2020-04-06 00:10:00",19,"West Parton",NA
"32","2020-04-06 00:15:00",3,"Old Town",0
"33","2020-04-06 00:15:00",6,"Downtown",7
"34","2020-04-06 00:15:00",8,"Scenic Vista",NA
"35","2020-04-06 00:15:00",8,"Scenic Vista",NA
"36","2020-04-06 00:15:00",8,"Scenic Vista",NA
"37","2020-04-06 00:15:00",8,"Scenic Vista",NA
"38","2020-04-06 00:15:00",12,"Pepper Mill",NA
"39","2020-04-06 00:20:00",3,"Old Town",10
"40","2020-04-06 00:20:00",6,"Downtown",9
"41","2020-04-06 00:20:00",15,"Weston",NA
"42","2020-04-06 00:20:00",16,"Southton",3
"43","2020-04-06 00:25:00",3,"Old Town",4
"44","2020-04-06 00:25:00",3,"Old Town",4
"45","2020-04-06 00:25:00",6,"Downtown",1
"46","2020-04-06 00:25:00",8,"Scenic Vista",NA
"47","2020-04-06 00:25:00",8,"Scenic Vista",NA
"48","2020-04-06 00:25:00",15,"Weston",NA
"49","2020-04-06 00:25:00",15,"Weston",NA
"50","2020-04-06 00:25:00",17,"Oak Willow",NA
"51","2020-04-06 00:30:00",4,"Safe Town",NA
"52","2020-04-06 00:30:00",18,"East Parton",NA
"53","2020-04-06 00:30:00",19,"West Parton",NA
"54","2020-04-06 00:35:00",1,"Palace Hills",5
"55","2020-04-06 00:35:00",2,"Northwest",NA
"56","2020-04-06 00:35:00",2,"Northwest",NA
"57","2020-04-06 00:35:00",3,"Old Town",4
"58","2020-04-06 00:35:00",3,"Old Town",8
"59","2020-04-06 00:35:00",9,"Broadview",6
"60","2020-04-06 00:35:00",17,"Oak Willow",NA
"61","2020-04-06 00:40:00",2,"Northwest",NA
"62","2020-04-06 00:40:00",2,"Northwest",NA
"63","2020-04-06 00:40:00",3,"Old Town",6
"64","2020-04-06 00:40:00",3,"Old Town",6
"65","2020-04-06 00:40:00",5,"Southwest",7
"66","2020-04-06 00:40:00",5,"Southwest",1
"67","2020-04-06 00:40:00",6,"Downtown",8
"68","2020-04-06 00:40:00",6,"Downtown",2
"69","2020-04-06 00:40:00",19,"West Parton",NA
"70","2020-04-06 00:45:00",2,"Northwest",NA
"71","2020-04-06 00:45:00",2,"Northwest",NA
"72","2020-04-06 00:45:00",6,"Downtown",1
"73","2020-04-06 00:45:00",8,"Scenic Vista",NA
"74","2020-04-06 00:45:00",9,"Broadview",2
"75","2020-04-06 00:50:00",2,"Northwest",NA
"76","2020-04-06 00:50:00",3,"Old Town",10
"77","2020-04-06 00:50:00",5,"Southwest",5
"78","2020-04-06 00:50:00",9,"Broadview",3
"79","2020-04-06 00:50:00",14,"Easton",NA
"80","2020-04-06 00:50:00",14,"Easton",NA
"81","2020-04-06 00:50:00",15,"Weston",NA
"82","2020-04-06 00:50:00",19,"West Parton",NA
"83","2020-04-06 00:55:00",2,"Northwest",NA
"84","2020-04-06 00:55:00",4,"Safe Town",NA
"85","2020-04-06 00:55:00",6,"Downtown",7
"86","2020-04-06 00:55:00",14,"Easton",NA
"87","2020-04-06 00:55:00",15,"Weston",NA
"88","2020-04-06 00:55:00",15,"Weston",NA
"89","2020-04-06 00:55:00",15,"Weston",NA
"90","2020-04-06 00:55:00",15,"Weston",NA
"91","2020-04-06 00:55:00",19,"West Parton",0
"92","2020-04-06 01:00:00",3,"Old Town",2
"93","2020-04-06 01:00:00",6,"Downtown",0
"94","2020-04-06 01:00:00",6,"Downtown",7
"95","2020-04-06 01:00:00",9,"Broadview",8
"96","2020-04-06 01:00:00",9,"Broadview",1
"97","2020-04-06 01:00:00",12,"Pepper Mill",NA
"98","2020-04-06 01:00:00",14,"Easton",NA
"99","2020-04-06 01:00:00",14,"Easton",NA
"100","2020-04-06 01:00:00",15,"Weston",NA
"101","2020-04-06 01:05:00",2,"Northwest",NA
"102","2020-04-06 01:05:00",2,"Northwest",NA
"103","2020-04-06 01:05:00",6,"Downtown",6
"104","2020-04-06 01:05:00",9,"Broadview",0
"105","2020-04-06 01:05:00",11,"Terrapin",10
"106","2020-04-06 01:05:00",12,"Pepper Mill",NA
"107","2020-04-06 01:05:00",15,"Weston",NA
"108","2020-04-06 01:10:00",3,"Old Town",10
"109","2020-04-06 01:10:00",3,"Old Town",0
"110","2020-04-06 01:10:00",6,"Downtown",10
"111","2020-04-06 01:10:00",6,"Downtown",4
"112","2020-04-06 01:10:00",8,"Scenic Vista",NA
"113","2020-04-06 01:10:00",9,"Broadview",10
"114","2020-04-06 01:10:00",13,"Cheddarford",NA
"115","2020-04-06 01:10:00",16,"Southton",10
"116","2020-04-06 01:10:00",16,"Southton",6
"117","2020-04-06 01:15:00",2,"Northwest",NA
"118","2020-04-06 01:15:00",3,"Old Town",2
"119","2020-04-06 01:15:00",6,"Downtown",6
"120","2020-04-06 01:15:00",6,"Downtown",8
"121","2020-04-06 01:15:00",6,"Downtown",2
"122","2020-04-06 01:15:00",8,"Scenic Vista",NA
"123","2020-04-06 01:15:00",8,"Scenic Vista",NA
"124","2020-04-06 01:15:00",8,"Scenic Vista",NA
"125","2020-04-06 01:15:00",8,"Scenic Vista",NA
"126","2020-04-06 01:15:00",9,"Broadview",3
"127","2020-04-06 01:15:00",13,"Cheddarford",NA
"128","2020-04-06 01:15:00",13,"Cheddarford",NA
"129","2020-04-06 01:15:00",14,"Easton",NA
"130","2020-04-06 01:15:00",18,"East Parton",NA
"131","2020-04-06 01:20:00",1,"Palace Hills",7
"132","2020-04-06 01:20:00",2,"Northwest",NA
"133","2020-04-06 01:20:00",3,"Old Town",9
"134","2020-04-06 01:20:00",9,"Broadview",2
"135","2020-04-06 01:20:00",11,"Terrapin",6
"136","2020-04-06 01:20:00",15,"Weston",NA
"137","2020-04-06 01:25:00",1,"Palace Hills",3
"138","2020-04-06 01:25:00",9,"Broadview",3
"139","2020-04-06 01:25:00",12,"Pepper Mill",NA
"140","2020-04-06 01:25:00",14,"Easton",NA
"141","2020-04-06 01:25:00",14,"Easton",NA
"142","2020-04-06 01:25:00",18,"East Parton",NA
"143","2020-04-06 01:30:00",3,"Old Town",6
"144","2020-04-06 01:30:00",6,"Downtown",8
"145","2020-04-06 01:30:00",11,"Terrapin",6
"146","2020-04-06 01:30:00",19,"West Parton",NA
"147","2020-04-06 01:35:00",1,"Palace Hills",4
"148","2020-04-06 01:35:00",5,"Southwest",4
"149","2020-04-06 01:35:00",6,"Downtown",7
"150","2020-04-06 01:35:00",11,"Terrapin",10
"151","2020-04-06 01:35:00",12,"Pepper Mill",NA
"152","2020-04-06 01:35:00",18,"East Parton",NA
"153","2020-04-06 01:40:00",2,"Northwest",NA
"154","2020-04-06 01:40:00",3,"Old Town",10
"155","2020-04-06 01:40:00",3,"Old Town",3
"156","2020-04-06 01:40:00",10,"Chapparal",NA
"157","2020-04-06 01:40:00",15,"Weston",NA
"158","2020-04-06 01:40:00",15,"Weston",NA
"159","2020-04-06 01:45:00",2,"Northwest",NA
"160","2020-04-06 01:45:00",2,"Northwest",NA
"161","2020-04-06 01:45:00",3,"Old Town",1
"162","2020-04-06 01:45:00",3,"Old Town",6
"163","2020-04-06 01:45:00",8,"Scenic Vista",NA
"164","2020-04-06 01:50:00",2,"Northwest",NA
"165","2020-04-06 01:50:00",3,"Old Town",3
"166","2020-04-06 01:50:00",3,"Old Town",4
"167","2020-04-06 01:50:00",5,"Southwest",5
"168","2020-04-06 01:50:00",8,"Scenic Vista",NA
"169","2020-04-06 01:50:00",8,"Scenic Vista",NA
"170","2020-04-06 01:50:00",8,"Scenic Vista",NA
"171","2020-04-06 01:50:00",9,"Broadview",7
"172","2020-04-06 01:50:00",19,"West Parton",NA
"173","2020-04-06 01:55:00",2,"Northwest",NA
"174","2020-04-06 01:55:00",8,"Scenic Vista",NA
"175","2020-04-06 01:55:00",8,"Scenic Vista",NA
"176","2020-04-06 01:55:00",9,"Broadview",9
"177","2020-04-06 01:55:00",9,"Broadview",3
"178","2020-04-06 01:55:00",9,"Broadview",4
"179","2020-04-06 01:55:00",9,"Broadview",5
"180","2020-04-06 01:55:00",15,"Weston",NA
"181","2020-04-06 01:55:00",15,"Weston",NA
"182","2020-04-06 01:55:00",18,"East Parton",NA
"183","2020-04-06 02:00:00",1,"Palace Hills",10
"184","2020-04-06 02:00:00",19,"West Parton",NA
"185","2020-04-06 02:05:00",2,"Northwest",NA
"186","2020-04-06 02:05:00",2,"Northwest",NA
"187","2020-04-06 02:05:00",4,"Safe Town",NA
"188","2020-04-06 02:05:00",9,"Broadview",10
"189","2020-04-06 02:05:00",11,"Terrapin",2
"190","2020-04-06 02:05:00",11,"Terrapin",4
"191","2020-04-06 02:05:00",14,"Easton",NA
"192","2020-04-06 02:05:00",15,"Weston",NA
"193","2020-04-06 02:05:00",15,"Weston",NA
"194","2020-04-06 02:10:00",2,"Northwest",NA
"195","2020-04-06 02:10:00",3,"Old Town",0
"196","2020-04-06 02:10:00",6,"Downtown",2
"197","2020-04-06 02:10:00",8,"Scenic Vista",NA
"198","2020-04-06 02:10:00",8,"Scenic Vista",NA
"199","2020-04-06 02:10:00",15,"Weston",NA
"200","2020-04-06 02:15:00",1,"Palace Hills",9
"201","2020-04-06 02:15:00",1,"Palace Hills",6
"202","2020-04-06 02:15:00",6,"Downtown",9
"203","2020-04-06 02:15:00",6,"Downtown",4
"204","2020-04-06 02:15:00",8,"Scenic Vista",NA
"205","2020-04-06 02:15:00",10,"Chapparal",NA
"206","2020-04-06 02:15:00",13,"Cheddarford",NA
"207","2020-04-06 02:15:00",15,"Weston",NA
"208","2020-04-06 02:15:00",18,"East Parton",NA
"209","2020-04-06 02:20:00",1,"Palace Hills",10
"210","2020-04-06 02:20:00",2,"Northwest",NA
"211","2020-04-06 02:20:00",3,"Old Town",3
"212","2020-04-06 02:20:00",3,"Old Town",10
"213","2020-04-06 02:20:00",6,"Downtown",4
"214","2020-04-06 02:20:00",6,"Downtown",2
"215","2020-04-06 02:20:00",9,"Broadview",2
"216","2020-04-06 02:20:00",12,"Pepper Mill",NA
"217","2020-04-06 02:25:00",1,"Palace Hills",8
"218","2020-04-06 02:25:00",1,"Palace Hills",7
"219","2020-04-06 02:25:00",3,"Old Town",5
"220","2020-04-06 02:25:00",4,"Safe Town",NA
"221","2020-04-06 02:25:00",10,"Chapparal",NA
