"","time","location","Location_name","rating"
"1","2020-04-06 00:00:00",2,"Northwest",0
"2","2020-04-06 00:00:00",3,"Old Town",NA
"3","2020-04-06 00:00:00",4,"Safe Town",NA
"4","2020-04-06 00:00:00",4,"Safe Town",1
"5","2020-04-06 00:00:00",8,"Scenic Vista",NA
"6","2020-04-06 00:00:00",15,"Weston",1
"7","2020-04-06 00:00:00",17,"Oak Willow",NA
"8","2020-04-06 00:00:00",18,"East Parton",0
"9","2020-04-06 00:05:00",2,"Northwest",0
"10","2020-04-06 00:05:00",5,"Southwest",NA
"11","2020-04-06 00:05:00",6,"Downtown",NA
"12","2020-04-06 00:05:00",8,"Scenic Vista",0
"13","2020-04-06 00:05:00",8,"Scenic Vista",NA
"14","2020-04-06 00:05:00",8,"Scenic Vista",NA
"15","2020-04-06 00:05:00",8,"Scenic Vista",NA
"16","2020-04-06 00:05:00",8,"Scenic Vista",NA
"17","2020-04-06 00:05:00",13,"Cheddarford",NA
"18","2020-04-06 00:05:00",14,"Easton",NA
"19","2020-04-06 00:05:00",15,"Weston",NA
"20","2020-04-06 00:05:00",19,"West Parton",NA
"21","2020-04-06 00:10:00",2,"Northwest",NA
"22","2020-04-06 00:10:00",3,"Old Town",1
"23","2020-04-06 00:10:00",4,"Safe Town",NA
"24","2020-04-06 00:10:00",4,"Safe Town",0
"25","2020-04-06 00:10:00",5,"Southwest",NA
"26","2020-04-06 00:10:00",6,"Downtown",NA
"27","2020-04-06 00:10:00",6,"Downtown",1
"28","2020-04-06 00:10:00",6,"Downtown",NA
"29","2020-04-06 00:10:00",12,"Pepper Mill",0
"30","2020-04-06 00:10:00",18,"East Parton",NA
"31","2020-04-06 00:10:00",19,"West Parton",1
"32","2020-04-06 00:15:00",3,"Old Town",NA
"33","2020-04-06 00:15:00",6,"Downtown",NA
"34","2020-04-06 00:15:00",8,"Scenic Vista",NA
"35","2020-04-06 00:15:00",8,"Scenic Vista",NA
"36","2020-04-06 00:15:00",8,"Scenic Vista",NA
"37","2020-04-06 00:15:00",8,"Scenic Vista",NA
"38","2020-04-06 00:15:00",12,"Pepper Mill",NA
"39","2020-04-06 00:20:00",3,"Old Town",NA
"40","2020-04-06 00:20:00",6,"Downtown",NA
"41","2020-04-06 00:20:00",15,"Weston",NA
"42","2020-04-06 00:20:00",16,"Southton",NA
"43","2020-04-06 00:25:00",3,"Old Town",NA
"44","2020-04-06 00:25:00",3,"Old Town",NA
"45","2020-04-06 00:25:00",6,"Downtown",NA
"46","2020-04-06 00:25:00",8,"Scenic Vista",NA
"47","2020-04-06 00:25:00",8,"Scenic Vista",NA
"48","2020-04-06 00:25:00",15,"Weston",NA
"49","2020-04-06 00:25:00",15,"Weston",NA
"50","2020-04-06 00:25:00",17,"Oak Willow",NA
"51","2020-04-06 00:30:00",4,"Safe Town",NA
"52","2020-04-06 00:30:00",18,"East Parton",NA
"53","2020-04-06 00:30:00",19,"West Parton",1
"54","2020-04-06 00:35:00",1,"Palace Hills",NA
"55","2020-04-06 00:35:00",2,"Northwest",1
"56","2020-04-06 00:35:00",2,"Northwest",NA
"57","2020-04-06 00:35:00",3,"Old Town",NA
"58","2020-04-06 00:35:00",3,"Old Town",NA
"59","2020-04-06 00:35:00",9,"Broadview",NA
"60","2020-04-06 00:35:00",17,"Oak Willow",NA
"61","2020-04-06 00:40:00",2,"Northwest",NA
"62","2020-04-06 00:40:00",2,"Northwest",1
