"","time","location","Location_name","buildings"
"1","2020-04-06 00:00:00",2,"Northwest",3
"2","2020-04-06 00:00:00",3,"Old Town",9
"3","2020-04-06 00:00:00",4,"Safe Town",10
"4","2020-04-06 00:00:00",4,"Safe Town",3
"5","2020-04-06 00:00:00",8,"Scenic Vista",4
"6","2020-04-06 00:00:00",15,"Weston",4
"7","2020-04-06 00:00:00",17,"Oak Willow",4
"8","2020-04-06 00:00:00",18,"East Parton",8
"9","2020-04-06 00:05:00",2,"Northwest",10
"10","2020-04-06 00:05:00",5,"Southwest",9
"11","2020-04-06 00:05:00",6,"Downtown",1
"12","2020-04-06 00:05:00",8,"Scenic Vista",10
"13","2020-04-06 00:05:00",8,"Scenic Vista",5
"14","2020-04-06 00:05:00",8,"Scenic Vista",0
"15","2020-04-06 00:05:00",8,"Scenic Vista",4
"16","2020-04-06 00:05:00",8,"Scenic Vista",8
"17","2020-04-06 00:05:00",13,"Cheddarford",3
"18","2020-04-06 00:05:00",14,"Easton",1
"19","2020-04-06 00:05:00",15,"Weston",3
"20","2020-04-06 00:05:00",19,"West Parton",10
"21","2020-04-06 00:10:00",2,"Northwest",2
"22","2020-04-06 00:10:00",3,"Old Town",0
"23","2020-04-06 00:10:00",4,"Safe Town",10
"24","2020-04-06 00:10:00",4,"Safe Town",5
"25","2020-04-06 00:10:00",5,"Southwest",4
"26","2020-04-06 00:10:00",6,"Downtown",9
"27","2020-04-06 00:10:00",6,"Downtown",8
"28","2020-04-06 00:10:00",6,"Downtown",10
"29","2020-04-06 00:10:00",12,"Pepper Mill",5
"30","2020-04-06 00:10:00",18,"East Parton",3
"31","2020-04-06 00:10:00",19,"West Parton",3
"32","2020-04-06 00:15:00",3,"Old Town",9
"33","2020-04-06 00:15:00",6,"Downtown",10
"34","2020-04-06 00:15:00",8,"Scenic Vista",10
"35","2020-04-06 00:15:00",8,"Scenic Vista",4
"36","2020-04-06 00:15:00",8,"Scenic Vista",6
"37","2020-04-06 00:15:00",8,"Scenic Vista",4
