"","time","location","Location_name","power"
"1","2020-04-06 00:00:00",2,"Northwest",8
"2","2020-04-06 00:00:00",3,"Old Town",3
"3","2020-04-06 00:00:00",4,"Safe Town",2
"4","2020-04-06 00:00:00",4,"Safe Town",1
"5","2020-04-06 00:00:00",8,"Scenic Vista",7
"6","2020-04-06 00:00:00",15,"Weston",2
"7","2020-04-06 00:00:00",17,"Oak Willow",4
"8","2020-04-06 00:00:00",18,"East Parton",7
"9","2020-04-06 00:05:00",2,"Northwest",10
"10","2020-04-06 00:05:00",5,"Southwest",2
"11","2020-04-06 00:05:00",6,"Downtown",3
"12","2020-04-06 00:05:00",8,"Scenic Vista",3
"13","2020-04-06 00:05:00",8,"Scenic Vista",2
"14","2020-04-06 00:05:00",8,"Scenic Vista",4
"15","2020-04-06 00:05:00",8,"Scenic Vista",9
"16","2020-04-06 00:05:00",8,"Scenic Vista",10
"17","2020-04-06 00:05:00",13,"Cheddarford",1
"18","2020-04-06 00:05:00",14,"Easton",4
"19","2020-04-06 00:05:00",15,"Weston",9
"20","2020-04-06 00:05:00",19,"West Parton",3
"21","2020-04-06 00:10:00",2,"Northwest",7
"22","2020-04-06 00:10:00",3,"Old Town",9
"23","2020-04-06 00:10:00",4,"Safe Town",2
"24","2020-04-06 00:10:00",4,"Safe Town",8
"25","2020-04-06 00:10:00",5,"Southwest",4
"26","2020-04-06 00:10:00",6,"Downtown",5
"27","2020-04-06 00:10:00",6,"Downtown",9
"28","2020-04-06 00:10:00",6,"Downtown",7
"29","2020-04-06 00:10:00",12,"Pepper Mill",2
"30","2020-04-06 00:10:00",18,"East Parton",6
"31","2020-04-06 00:10:00",19,"West Parton",10
"32","2020-04-06 00:15:00",3,"Old Town",7
"33","2020-04-06 00:15:00",6,"Downtown",3
"34","2020-04-06 00:15:00",8,"Scenic Vista",10
"35","2020-04-06 00:15:00",8,"Scenic Vista",0
"36","2020-04-06 00:15:00",8,"Scenic Vista",10
"37","2020-04-06 00:15:00",8,"Scenic Vista",0
"38","2020-04-06 00:15:00",12,"Pepper Mill",4
"39","2020-04-06 00:20:00",3,"Old Town",7
"40","2020-04-06 00:20:00",6,"Downtown",3
"41","2020-04-06 00:20:00",15,"Weston",5
"42","2020-04-06 00:20:00",16,"Southton",5
"43","2020-04-06 00:25:00",3,"Old Town",3
"44","2020-04-06 00:25:00",3,"Old Town",3
"45","2020-04-06 00:25:00",6,"Downtown",5
"46","2020-04-06 00:25:00",8,"Scenic Vista",10
"47","2020-04-06 00:25:00",8,"Scenic Vista",4
"48","2020-04-06 00:25:00",15,"Weston",0
"49","2020-04-06 00:25:00",15,"Weston",4
"50","2020-04-06 00:25:00",17,"Oak Willow",0
"51","2020-04-06 00:30:00",4,"Safe Town",3
"52","2020-04-06 00:30:00",18,"East Parton",4
"53","2020-04-06 00:30:00",19,"West Parton",10
"54","2020-04-06 00:35:00",1,"Palace Hills",10
"55","2020-04-06 00:35:00",2,"Northwest",8
"56","2020-04-06 00:35:00",2,"Northwest",5
"57","2020-04-06 00:35:00",3,"Old Town",9
"58","2020-04-06 00:35:00",3,"Old Town",0
"59","2020-04-06 00:35:00",9,"Broadview",9
"60","2020-04-06 00:35:00",17,"Oak Willow",0
"61","2020-04-06 00:40:00",2,"Northwest",4
"62","2020-04-06 00:40:00",2,"Northwest",8
"63","2020-04-06 00:40:00",3,"Old Town",2
"64","2020-04-06 00:40:00",3,"Old Town",2
"65","2020-04-06 00:40:00",5,"Southwest",8
"66","2020-04-06 00:40:00",5,"Southwest",1
"67","2020-04-06 00:40:00",6,"Downtown",7
"68","2020-04-06 00:40:00",6,"Downtown",3
"69","2020-04-06 00:40:00",19,"West Parton",5
"70","2020-04-06 00:45:00",2,"Northwest",6
"71","2020-04-06 00:45:00",2,"Northwest",8
"72","2020-04-06 00:45:00",6,"Downtown",4
"73","2020-04-06 00:45:00",8,"Scenic Vista",7
"74","2020-04-06 00:45:00",9,"Broadview",4
"75","2020-04-06 00:50:00",2,"Northwest",10
"76","2020-04-06 00:50:00",3,"Old Town",4
"77","2020-04-06 00:50:00",5,"Southwest",1
"78","2020-04-06 00:50:00",9,"Broadview",0
"79","2020-04-06 00:50:00",14,"Easton",3
"80","2020-04-06 00:50:00",14,"Easton",2
"81","2020-04-06 00:50:00",15,"Weston",7
"82","2020-04-06 00:50:00",19,"West Parton",0
"83","2020-04-06 00:55:00",2,"Northwest",4
"84","2020-04-06 00:55:00",4,"Safe Town",0
"85","2020-04-06 00:55:00",6,"Downtown",5
"86","2020-04-06 00:55:00",14,"Easton",8
"87","2020-04-06 00:55:00",15,"Weston",5
"88","2020-04-06 00:55:00",15,"Weston",4
"89","2020-04-06 00:55:00",15,"Weston",7
"90","2020-04-06 00:55:00",15,"Weston",5
"91","2020-04-06 00:55:00",19,"West Parton",2
"92","2020-04-06 01:00:00",3,"Old Town",3
"93","2020-04-06 01:00:00",6,"Downtown",6
"94","2020-04-06 01:00:00",6,"Downtown",10
"95","2020-04-06 01:00:00",9,"Broadview",10
