"","time","location","Location_name","roads_and_bridges"
"1","2020-04-06 00:00:00",2,"Northwest",5
"2","2020-04-06 00:00:00",3,"Old Town",10
"3","2020-04-06 00:00:00",4,"Safe Town",9
"4","2020-04-06 00:00:00",4,"Safe Town",10
"5","2020-04-06 00:00:00",8,"Scenic Vista",5
"6","2020-04-06 00:00:00",15,"Weston",9
"7","2020-04-06 00:00:00",17,"Oak Willow",1
"8","2020-04-06 00:00:00",18,"East Parton",4
"9","2020-04-06 00:05:00",2,"Northwest",3
"10","2020-04-06 00:05:00",5,"Southwest",0
"11","2020-04-06 00:05:00",6,"Downtown",8
"12","2020-04-06 00:05:00",8,"Scenic Vista",3
"13","2020-04-06 00:05:00",8,"Scenic Vista",7
"14","2020-04-06 00:05:00",8,"Scenic Vista",9
"15","2020-04-06 00:05:00",8,"Scenic Vista",1
"16","2020-04-06 00:05:00",8,"Scenic Vista",0
"17","2020-04-06 00:05:00",13,"Cheddarford",4
"18","2020-04-06 00:05:00",14,"Easton",1
"19","2020-04-06 00:05:00",15,"Weston",10
"20","2020-04-06 00:05:00",19,"West Parton",8
"21","2020-04-06 00:10:00",2,"Northwest",1
"22","2020-04-06 00:10:00",3,"Old Town",10
"23","2020-04-06 00:10:00",4,"Safe Town",10
"24","2020-04-06 00:10:00",4,"Safe Town",8
"25","2020-04-06 00:10:00",5,"Southwest",3
"26","2020-04-06 00:10:00",6,"Downtown",4
"27","2020-04-06 00:10:00",6,"Downtown",0
"28","2020-04-06 00:10:00",6,"Downtown",0
"29","2020-04-06 00:10:00",12,"Pepper Mill",10
"30","2020-04-06 00:10:00",18,"East Parton",1
"31","2020-04-06 00:10:00",19,"West Parton",1
"32","2020-04-06 00:15:00",3,"Old Town",5
"33","2020-04-06 00:15:00",6,"Downtown",1
"34","2020-04-06 00:15:00",8,"Scenic Vista",9
"35","2020-04-06 00:15:00",8,"Scenic Vista",10
"36","2020-04-06 00:15:00",8,"Scenic Vista",9
"37","2020-04-06 00:15:00",8,"Scenic Vista",3
"38","2020-04-06 00:15:00",12,"Pepper Mill",7
"39","2020-04-06 00:20:00",3,"Old Town",10
"40","2020-04-06 00:20:00",6,"Downtown",10
"41","2020-04-06 00:20:00",15,"Weston",4
"42","2020-04-06 00:20:00",16,"Southton",4
"43","2020-04-06 00:25:00",3,"Old Town",5
"44","2020-04-06 00:25:00",3,"Old Town",9
"45","2020-04-06 00:25:00",6,"Downtown",4
"46","2020-04-06 00:25:00",8,"Scenic Vista",2
"47","2020-04-06 00:25:00",8,"Scenic Vista",9
"48","2020-04-06 00:25:00",15,"Weston",5
"49","2020-04-06 00:25:00",15,"Weston",0
"50","2020-04-06 00:25:00",17,"Oak Willow",7
"51","2020-04-06 00:30:00",4,"Safe Town",6
"52","2020-04-06 00:30:00",18,"East Parton",4
"53","2020-04-06 00:30:00",19,"West Parton",6
"54","2020-04-06 00:35:00",1,"Palace Hills",3
"55","2020-04-06 00:35:00",2,"Northwest",2
"56","2020-04-06 00:35:00",2,"Northwest",7
"57","2020-04-06 00:35:00",3,"Old Town",7
"58","2020-04-06 00:35:00",3,"Old Town",10
"59","2020-04-06 00:35:00",9,"Broadview",1
"60","2020-04-06 00:35:00",17,"Oak Willow",3
"61","2020-04-06 00:40:00",2,"Northwest",2
"62","2020-04-06 00:40:00",2,"Northwest",1
"63","2020-04-06 00:40:00",3,"Old Town",10
"64","2020-04-06 00:40:00",3,"Old Town",0
"65","2020-04-06 00:40:00",5,"Southwest",4
"66","2020-04-06 00:40:00",5,"Southwest",7
"67","2020-04-06 00:40:00",6,"Downtown",0
"68","2020-04-06 00:40:00",6,"Downtown",5
"69","2020-04-06 00:40:00",19,"West Parton",7
"70","2020-04-06 00:45:00",2,"Northwest",1
"71","2020-04-06 00:45:00",2,"Northwest",2
"72","2020-04-06 00:45:00",6,"Downtown",8
"73","2020-04-06 00:45:00",8,"Scenic Vista",6
"74","2020-04-06 00:45:00",9,"Broadview",8
"75","2020-04-06 00:50:00",2,"Northwest",10
"76","2020-04-06 00:50:00",3,"Old Town",3
"77","2020-04-06 00:50:00",5,"Southwest",2
"78","2020-04-06 00:50:00",9,"Broadview",9
"79","2020-04-06 00:50:00",14,"Easton",0
"80","2020-04-06 00:50:00",14,"Easton",10
"81","2020-04-06 00:50:00",15,"Weston",1
"82","2020-04-06 00:50:00",19,"West Parton",9
"83","2020-04-06 00:55:00",2,"Northwest",7
"84","2020-04-06 00:55:00",4,"Safe Town",1
"85","2020-04-06 00:55:00",6,"Downtown",5
"86","2020-04-06 00:55:00",14,"Easton",4
"87","2020-04-06 00:55:00",15,"Weston",8
"88","2020-04-06 00:55:00",15,"Weston",6
"89","2020-04-06 00:55:00",15,"Weston",7
"90","2020-04-06 00:55:00",15,"Weston",10
"91","2020-04-06 00:55:00",19,"West Parton",2
"92","2020-04-06 01:00:00",3,"Old Town",5
"93","2020-04-06 01:00:00",6,"Downtown",4
"94","2020-04-06 01:00:00",6,"Downtown",10
"95","2020-04-06 01:00:00",9,"Broadview",4
"96","2020-04-06 01:00:00",9,"Broadview",4
"97","2020-04-06 01:00:00",12,"Pepper Mill",10
"98","2020-04-06 01:00:00",14,"Easton",0
"99","2020-04-06 01:00:00",14,"Easton",10
"100","2020-04-06 01:00:00",15,"Weston",5
"101","2020-04-06 01:05:00",2,"Northwest",3
"102","2020-04-06 01:05:00",2,"Northwest",1
"103","2020-04-06 01:05:00",6,"Downtown",3
"104","2020-04-06 01:05:00",9,"Broadview",10
"105","2020-04-06 01:05:00",11,"Terrapin",7
"106","2020-04-06 01:05:00",12,"Pepper Mill",4
"107","2020-04-06 01:05:00",15,"Weston",0
"108","2020-04-06 01:10:00",3,"Old Town",8
"109","2020-04-06 01:10:00",3,"Old Town",2
"110","2020-04-06 01:10:00",6,"Downtown",8
"111","2020-04-06 01:10:00",6,"Downtown",2
"112","2020-04-06 01:10:00",8,"Scenic Vista",7
"113","2020-04-06 01:10:00",9,"Broadview",4
"114","2020-04-06 01:10:00",13,"Cheddarford",9
"115","2020-04-06 01:10:00",16,"Southton",9
"116","2020-04-06 01:10:00",16,"Southton",1
"117","2020-04-06 01:15:00",2,"Northwest",10
"118","2020-04-06 01:15:00",3,"Old Town",3
"119","2020-04-06 01:15:00",6,"Downtown",4
"120","2020-04-06 01:15:00",6,"Downtown",2
"121","2020-04-06 01:15:00",6,"Downtown",7
"122","2020-04-06 01:15:00",8,"Scenic Vista",0
"123","2020-04-06 01:15:00",8,"Scenic Vista",0
"124","2020-04-06 01:15:00",8,"Scenic Vista",10
"125","2020-04-06 01:15:00",8,"Scenic Vista",7
"126","2020-04-06 01:15:00",9,"Broadview",1
"127","2020-04-06 01:15:00",13,"Cheddarford",10
"128","2020-04-06 01:15:00",13,"Cheddarford",4
"129","2020-04-06 01:15:00",14,"Easton",5
"130","2020-04-06 01:15:00",18,"East Parton",9
"131","2020-04-06 01:20:00",1,"Palace Hills",6
"132","2020-04-06 01:20:00",2,"Northwest",0
"133","2020-04-06 01:20:00",3,"Old Town",8
"134","2020-04-06 01:20:00",9,"Broadview",2
"135","2020-04-06 01:20:00",11,"Terrapin",7
"136","2020-04-06 01:20:00",15,"Weston",10
"137","2020-04-06 01:25:00",1,"Palace Hills",6
"138","2020-04-06 01:25:00",9,"Broadview",7
"139","2020-04-06 01:25:00",12,"Pepper Mill",2
"140","2020-04-06 01:25:00",14,"Easton",2
"141","2020-04-06 01:25:00",14,"Easton",10
"142","2020-04-06 01:25:00",18,"East Parton",10
"143","2020-04-06 01:30:00",3,"Old Town",7
"144","2020-04-06 01:30:00",6,"Downtown",2
"145","2020-04-06 01:30:00",11,"Terrapin",2
"146","2020-04-06 01:30:00",19,"West Parton",1
"147","2020-04-06 01:35:00",1,"Palace Hills",2
"148","2020-04-06 01:35:00",5,"Southwest",5
"149","2020-04-06 01:35:00",6,"Downtown",10
"150","2020-04-06 01:35:00",11,"Terrapin",10
"151","2020-04-06 01:35:00",12,"Pepper Mill",7
"152","2020-04-06 01:35:00",18,"East Parton",7
"153","2020-04-06 01:40:00",2,"Northwest",6
"154","2020-04-06 01:40:00",3,"Old Town",0
"155","2020-04-06 01:40:00",3,"Old Town",10
"156","2020-04-06 01:40:00",10,"Chapparal",7
"157","2020-04-06 01:40:00",15,"Weston",3
"158","2020-04-06 01:40:00",15,"Weston",7
"159","2020-04-06 01:45:00",2,"Northwest",2
"160","2020-04-06 01:45:00",2,"Northwest",6
"161","2020-04-06 01:45:00",3,"Old Town",5
"162","2020-04-06 01:45:00",3,"Old Town",10
"163","2020-04-06 01:45:00",8,"Scenic Vista",10
"164","2020-04-06 01:50:00",2,"Northwest",9
"165","2020-04-06 01:50:00",3,"Old Town",2
"166","2020-04-06 01:50:00",3,"Old Town",10
"167","2020-04-06 01:50:00",5,"Southwest",0
"168","2020-04-06 01:50:00",8,"Scenic Vista",6
"169","2020-04-06 01:50:00",8,"Scenic Vista",8
"170","2020-04-06 01:50:00",8,"Scenic Vista",8
"171","2020-04-06 01:50:00",9,"Broadview",6
"172","2020-04-06 01:50:00",19,"West Parton",3
"173","2020-04-06 01:55:00",2,"Northwest",7
"174","2020-04-06 01:55:00",8,"Scenic Vista",1
"175","2020-04-06 01:55:00",8,"Scenic Vista",0
"176","2020-04-06 01:55:00",9,"Broadview",1
"177","2020-04-06 01:55:00",9,"Broadview",8
"178","2020-04-06 01:55:00",9,"Broadview",3
"179","2020-04-06 01:55:00",9,"Broadview",10
