"","time","location","Location_name","rating"
"1","2020-04-06 00:00:00",2,"Northwest",2
"2","2020-04-06 00:00:00",3,"Old Town",6
"3","2020-04-06 00:00:00",4,"Safe Town",10
"4","2020-04-06 00:00:00",4,"Safe Town",8
"5","2020-04-06 00:00:00",8,"Scenic Vista",9
"6","2020-04-06 00:00:00",15,"Weston",6
"7","2020-04-06 00:00:00",17,"Oak Willow",2
"8","2020-04-06 00:00:00",18,"East Parton",9
"9","2020-04-06 00:05:00",2,"Northwest",10
"10","2020-04-06 00:05:00",5,"Southwest",6
"11","2020-04-06 00:05:00",6,"Downtown",10
"12","2020-04-06 00:05:00",8,"Scenic Vista",2
"13","2020-04-06 00:05:00",8,"Scenic Vista",4
"14","2020-04-06 00:05:00",8,"Scenic Vista",6
"15","2020-04-06 00:05:00",8,"Scenic Vista",2
"16","2020-04-06 00:05:00",8,"Scenic Vista",4
"17","2020-04-06 00:05:00",13,"Cheddarford",10
"18","2020-04-06 00:05:00",14,"Easton",10
"19","2020-04-06 00:05:00",15,"Weston",7
"20","2020-04-06 00:05:00",19,"West Parton",4
"21","2020-04-06 00:10:00",2,"Northwest",1
"22","2020-04-06 00:10:00",3,"Old Town",5
"23","2020-04-06 00:10:00",4,"Safe Town",2
"24","2020-04-06 00:10:00",4,"Safe Town",10
"25","2020-04-06 00:10:00",5,"Southwest",3
"26","2020-04-06 00:10:00",6,"Downtown",1
"27","2020-04-06 00:10:00",6,"Downtown",1
"28","2020-04-06 00:10:00",6,"Downtown",0
"29","2020-04-06 00:10:00",12,"Pepper Mill",0
"30","2020-04-06 00:10:00",18,"East Parton",2
"31","2020-04-06 00:10:00",19,"West Parton",8
"32","2020-04-06 00:15:00",3,"Old Town",4
"33","2020-04-06 00:15:00",6,"Downtown",8
"34","2020-04-06 00:15:00",8,"Scenic Vista",3
"35","2020-04-06 00:15:00",8,"Scenic Vista",7
"36","2020-04-06 00:15:00",8,"Scenic Vista",9
"37","2020-04-06 00:15:00",8,"Scenic Vista",9
"38","2020-04-06 00:15:00",12,"Pepper Mill",10
"39","2020-04-06 00:20:00",3,"Old Town",0
"40","2020-04-06 00:20:00",6,"Downtown",10
"41","2020-04-06 00:20:00",15,"Weston",0
"42","2020-04-06 00:20:00",16,"Southton",7
"43","2020-04-06 00:25:00",3,"Old Town",3
"44","2020-04-06 00:25:00",3,"Old Town",5
"45","2020-04-06 00:25:00",6,"Downtown",1
"46","2020-04-06 00:25:00",8,"Scenic Vista",3
"47","2020-04-06 00:25:00",8,"Scenic Vista",0
"48","2020-04-06 00:25:00",15,"Weston",9
"49","2020-04-06 00:25:00",15,"Weston",6
"50","2020-04-06 00:25:00",17,"Oak Willow",2
"51","2020-04-06 00:30:00",4,"Safe Town",10
"52","2020-04-06 00:30:00",18,"East Parton",2
"53","2020-04-06 00:30:00",19,"West Parton",9
"54","2020-04-06 00:35:00",1,"Palace Hills",2
"55","2020-04-06 00:35:00",2,"Northwest",1
